clicks,ctr,impressions,key-1,key-2,keys,position,rootDomain,siteUrl
105,0.023427041499330656,4482,https://www.ladies-market.hk/how-to-get-there,ladies market near me,"['https://www.ladies-market.hk/how-to-get-there', 'ladies market near me']",3.8893351182507807,www.ladies-market.hk,https://www.ladies-market.hk/
97,0.03878448620551779,2501,https://www.ladies-market.hk/,ladies night market,"['https://www.ladies-market.hk/', 'ladies night market']",2.2902838864454216,www.ladies-market.hk,https://www.ladies-market.hk/
96,0.015089594467148696,6362,https://www.ladies-market.hk/,ladies street hong kong,"['https://www.ladies-market.hk/', 'ladies street hong kong']",7.072775856648852,www.ladies-market.hk,https://www.ladies-market.hk/
90,0.012236573759347382,7355,https://www.ladies-market.hk/,ladies market opening hours,"['https://www.ladies-market.hk/', 'ladies market opening hours']",6.2421481985044185,www.ladies-market.hk,https://www.ladies-market.hk/
88,0.07920792079207921,1111,https://www.ladies-market.hk/opening-hours,ladies market mong kok opening hours,"['https://www.ladies-market.hk/opening-hours', 'ladies market mong kok opening hours']",1.7974797479747975,www.ladies-market.hk,https://www.ladies-market.hk/
85,0.0610632183908046,1392,https://www.ladies-market.hk/,ladys market,"['https://www.ladies-market.hk/', 'ladys market']",2.5294540229885056,www.ladies-market.hk,https://www.ladies-market.hk/
84,0.10023866348448687,838,https://www.ladies-market.hk/opening-hours,what time does ladies market open,"['https://www.ladies-market.hk/opening-hours', 'what time does ladies market open']",2.7326968973747015,www.ladies-market.hk,https://www.ladies-market.hk/
82,0.06016140865737344,1363,https://www.ladies-market.hk/,ladies night market mongkok,"['https://www.ladies-market.hk/', 'ladies night market mongkok']",1.4225972120322816,www.ladies-market.hk,https://www.ladies-market.hk/
81,0.11328671328671329,715,https://www.ladies-market.hk/,ladies market kowloon,"['https://www.ladies-market.hk/', 'ladies market kowloon']",1.6433566433566433,www.ladies-market.hk,https://www.ladies-market.hk/
78,0.06933333333333333,1125,https://www.ladies-market.hk/,ladies market hong kong bags,"['https://www.ladies-market.hk/', 'ladies market hong kong bags']",1.7688888888888887,www.ladies-market.hk,https://www.ladies-market.hk/
77,0.08984830805134189,857,https://www.ladies-market.hk/opening-hours,ladies market hong kong closing time,"['https://www.ladies-market.hk/opening-hours', 'ladies market hong kong closing time']",1.9544924154025671,www.ladies-market.hk,https://www.ladies-market.hk/
75,0.009013339742819372,8321,https://www.ladies-market.hk/,女人街 香港,"['https://www.ladies-market.hk/', '女人街 香港']",3.0384569162360293,www.ladies-market.hk,https://www.ladies-market.hk/
72,0.01488833746898263,4836,https://www.ladies-market.hk/,ladies market hours,"['https://www.ladies-market.hk/', 'ladies market hours']",5.470430107526882,www.ladies-market.hk,https://www.ladies-market.hk/
68,0.010927205527880443,6223,https://www.ladies-market.hk/,香港 女人街,"['https://www.ladies-market.hk/', '香港 女人街']",3.2844287321227705,www.ladies-market.hk,https://www.ladies-market.hk/
66,0.17983651226158037,367,https://www.ladies-market.hk/,ladies markets hong kong,"['https://www.ladies-market.hk/', 'ladies markets hong kong']",2.893732970027248,www.ladies-market.hk,https://www.ladies-market.hk/
64,0.1855072463768116,345,https://www.ladies-market.hk/,ladies markets,"['https://www.ladies-market.hk/', 'ladies markets']",3.281159420289855,www.ladies-market.hk,https://www.ladies-market.hk/
61,0.013863636363636364,4400,https://www.ladies-market.hk/how-to-get-there,ladies market mtr exit,"['https://www.ladies-market.hk/how-to-get-there', 'ladies market mtr exit']",7.192045454545455,www.ladies-market.hk,https://www.ladies-market.hk/
61,0.20198675496688742,302,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market mong kok mtr exit,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market mong kok mtr exit']",2.910596026490066,www.ladies-market.hk,https://www.ladies-market.hk/
60,0.045112781954887216,1330,https://www.ladies-market.hk/,hongkong ladies market,"['https://www.ladies-market.hk/', 'hongkong ladies market']",1.9909774436090224,www.ladies-market.hk,https://www.ladies-market.hk/
60,0.14925373134328357,402,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mong kok ladies market exit,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mong kok ladies market exit']",2.942786069651741,www.ladies-market.hk,https://www.ladies-market.hk/
60,0.0027180067950169874,22075,https://www.ladies-market.hk/map,ladies market mongkok,"['https://www.ladies-market.hk/map', 'ladies market mongkok']",3.530056625141563,www.ladies-market.hk,https://www.ladies-market.hk/
58,0.013071895424836602,4437,https://www.ladies-market.hk/,ladies market mtr exit,"['https://www.ladies-market.hk/', 'ladies market mtr exit']",3.368041469461348,www.ladies-market.hk,https://www.ladies-market.hk/
57,0.18627450980392157,306,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,how to get to ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'how to get to ladies market']",3.127450980392157,www.ladies-market.hk,https://www.ladies-market.hk/
56,0.09210526315789473,608,https://www.ladies-market.hk/,ladys market hong kong,"['https://www.ladies-market.hk/', 'ladys market hong kong']",1.3174342105263157,www.ladies-market.hk,https://www.ladies-market.hk/
54,0.023642732049036778,2284,https://www.ladies-market.hk/,hong kong ladies market opening hours,"['https://www.ladies-market.hk/', 'hong kong ladies market opening hours']",8.195271453590193,www.ladies-market.hk,https://www.ladies-market.hk/
52,0.012928891098955743,4022,https://www.ladies-market.hk/opening-hours,hong kong ladies market,"['https://www.ladies-market.hk/opening-hours', 'hong kong ladies market']",3.444306315266037,www.ladies-market.hk,https://www.ladies-market.hk/
52,0.11403508771929824,456,https://www.ladies-market.hk/opening-hours,ladies market hours hong kong,"['https://www.ladies-market.hk/opening-hours', 'ladies market hours hong kong']",2.1403508771929824,www.ladies-market.hk,https://www.ladies-market.hk/
52,0.01819454163750875,2858,https://www.ladies-market.hk/opening-hours,lady market mongkok,"['https://www.ladies-market.hk/opening-hours', 'lady market mongkok']",3.6952414275717285,www.ladies-market.hk,https://www.ladies-market.hk/
51,0.10220440881763528,499,https://www.ladies-market.hk/,hong kong ladies night market,"['https://www.ladies-market.hk/', 'hong kong ladies night market']",1.6072144288577155,www.ladies-market.hk,https://www.ladies-market.hk/
51,0.005080693365212194,10038,https://www.ladies-market.hk/how-to-get-there,ladies' market,"['https://www.ladies-market.hk/how-to-get-there', ""ladies' market""]",3.9861526200438333,www.ladies-market.hk,https://www.ladies-market.hk/
51,0.1946564885496183,262,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market exit mtr,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market exit mtr']",3.030534351145038,www.ladies-market.hk,https://www.ladies-market.hk/
51,0.06367041198501873,801,https://www.ladies-market.hk/opening-hours,is ladies market open today,"['https://www.ladies-market.hk/opening-hours', 'is ladies market open today']",2.856429463171036,www.ladies-market.hk,https://www.ladies-market.hk/
51,0.12289156626506025,415,https://www.ladies-market.hk/opening-hours,ladies night market opening hours,"['https://www.ladies-market.hk/opening-hours', 'ladies night market opening hours']",2.2939759036144576,www.ladies-market.hk,https://www.ladies-market.hk/
49,0.08718861209964412,562,https://www.ladies-market.hk/,hk ladies market,"['https://www.ladies-market.hk/', 'hk ladies market']",1.7117437722419928,www.ladies-market.hk,https://www.ladies-market.hk/
47,0.014873417721518987,3160,https://www.ladies-market.hk/,ladies market mongkok exit,"['https://www.ladies-market.hk/', 'ladies market mongkok exit']",2.008860759493671,www.ladies-market.hk,https://www.ladies-market.hk/
46,0.1885245901639344,244,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,how to go to ladies market mongkok,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'how to go to ladies market mongkok']",3.0081967213114753,www.ladies-market.hk,https://www.ladies-market.hk/
46,0.13372093023255813,344,https://www.ladies-market.hk/where-to-eat,ladies market food,"['https://www.ladies-market.hk/where-to-eat', 'ladies market food']",3.316860465116279,www.ladies-market.hk,https://www.ladies-market.hk/
42,0.007273986837547627,5774,https://www.ladies-market.hk/how-to-get-there,ladies market hongkong,"['https://www.ladies-market.hk/how-to-get-there', 'ladies market hongkong']",4.999826809837201,www.ladies-market.hk,https://www.ladies-market.hk/
42,0.09610983981693363,437,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mongkok station to ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mongkok station to ladies market']",2.9016018306636155,www.ladies-market.hk,https://www.ladies-market.hk/
41,0.033717105263157895,1216,https://www.ladies-market.hk/,ladies market hong kong food,"['https://www.ladies-market.hk/', 'ladies market hong kong food']",5.162828947368421,www.ladies-market.hk,https://www.ladies-market.hk/
41,0.053385416666666664,768,https://www.ladies-market.hk/,ladies street market,"['https://www.ladies-market.hk/', 'ladies street market']",4.440104166666666,www.ladies-market.hk,https://www.ladies-market.hk/
41,0.17372881355932204,236,https://www.ladies-market.hk/,the ladies market hong kong,"['https://www.ladies-market.hk/', 'the ladies market hong kong']",1.4279661016949152,www.ladies-market.hk,https://www.ladies-market.hk/
41,0.06984667802385008,587,https://www.ladies-market.hk/opening-hours,ladies market mongkok opening hours,"['https://www.ladies-market.hk/opening-hours', 'ladies market mongkok opening hours']",2.197614991482112,www.ladies-market.hk,https://www.ladies-market.hk/
40,0.11267605633802817,355,https://www.ladies-market.hk/,ladies market (tung choi street),"['https://www.ladies-market.hk/', 'ladies market (tung choi street)']",1.3352112676056338,www.ladies-market.hk,https://www.ladies-market.hk/
40,0.05263157894736842,760,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mongkok market mtr exit,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mongkok market mtr exit']",5.276315789473684,www.ladies-market.hk,https://www.ladies-market.hk/
39,0.025473546701502287,1531,https://www.ladies-market.hk/,ladies market hong kong mtr exit,"['https://www.ladies-market.hk/', 'ladies market hong kong mtr exit']",3.8399738732854343,www.ladies-market.hk,https://www.ladies-market.hk/
39,0.12380952380952381,315,https://www.ladies-market.hk/,lady market hongkong,"['https://www.ladies-market.hk/', 'lady market hongkong']",3.926984126984127,www.ladies-market.hk,https://www.ladies-market.hk/
38,0.018509498295177788,2053,https://www.ladies-market.hk/,ladies market mongkok mtr exit,"['https://www.ladies-market.hk/', 'ladies market mongkok mtr exit']",1.2679006332196785,www.ladies-market.hk,https://www.ladies-market.hk/
38,0.024005053695514846,1583,https://www.ladies-market.hk/,ladies street,"['https://www.ladies-market.hk/', 'ladies street']",9.017056222362603,www.ladies-market.hk,https://www.ladies-market.hk/
38,0.08085106382978724,470,https://www.ladies-market.hk/,ladies' market tung choi street mong kok hong kong,"['https://www.ladies-market.hk/', ""ladies' market tung choi street mong kok hong kong""]",1.0702127659574467,www.ladies-market.hk,https://www.ladies-market.hk/
